훈련기관명,주소요약,훈련과정명
(주)모두의연구소,서울 강남구,인공지능 혁신학교 AIFFEL(아이펠) : 코어 과정
(주)모두의연구소,서울 강남구,[스마트훈련]데이터 사이언티스트 실무과정
(주)엘리스그룹,서울 강남구,엘리스 AI 웹 풀스택 트랙 
(주)엘리스그룹,서울 강남구,엘리스 클라우드(자바/스프링) 기반 백엔드 엔지니어 트랙
ANC승무원평생교육원,서울 강남구,여행사OP 예약발권 상품상담실무 취업과정
대한무인항공교육원,서울 강남구,초경량비행장치 무인멀티콥터 드론 국가자격증 1종 과정 [전문교육기관]
대한무인항공교육원,서울 강남구,초경량 비행장치 무인멀티콥터 드론 국가 자격증 1종 [전문교육기관]
더조은컴퓨터아카데미,서울 강남구,"《ChatGPT》를 활용한 웹퍼블리셔(웹디자인)HTML5,CSS3"
더조은컴퓨터아카데미,서울 강남구,IOS 앱 제작 SWIFT프로그래밍 실무
더조은컴퓨터아카데미,서울 강남구,《ChatGPT》를 활용한 자바 윈도우프로그램 만들기 
더조은컴퓨터아카데미,서울 강남구,[실내건축]스케치업(Sketchup) 활용 인테리어 실무
더조은컴퓨터아카데미,서울 강남구,"[컴활1급]컴퓨터활용능력1급자격취득(실기)[엑셀,엑세스]"
더조은컴퓨터아카데미,서울 강남구,사무직 필수 엑셀 입문(실무엑셀)B
더조은컴퓨터아카데미,서울 강남구,《BIM》건축설계 레빗(Revit) 입문 활용
더조은컴퓨터아카데미,서울 강남구,쉽게 배우는 오토캐드(AutoCAD) 실무
더조은컴퓨터아카데미,서울 강남구,자바(JAVA) 웹개발(백앤드)&앱개발자(클라우드활용) 취업캠프
더조은컴퓨터아카데미,서울 강남구,"빅데이터 기반 AI(인공지능)서비스(추천,트레이딩) 개발자 취업캠프"
더조은컴퓨터아카데미,서울 강남구,"[단기완성] 숏폼&영상편집디자인(유튜브,인스타,틱톡)"
더조은컴퓨터아카데미,서울 강남구,"C,C++프로그래밍"
더조은컴퓨터아카데미,서울 강남구,[AI개발을위한 첫걸음] GPT&Python(파이썬) 기초 프로그래밍 입문
더조은컴퓨터아카데미,서울 강남구,빅데이터 분석&추천시스템 개발자 양성과정
더조은컴퓨터아카데미,서울 강남구,파이썬(Python) 이해와 빅데이터분석 실무
더조은컴퓨터아카데미,서울 강남구,GTQ(포토샵)자격취득 입문
더조은컴퓨터아카데미,서울 강남구,"프론트엔드(React, React Native) 웹개발&앱개발자 취업캠프"
더조은컴퓨터아카데미,서울 강남구,의료용 디지털 영상 표준(DICOM)활용 의료A.I 연동 개발 실무 프로젝트
더조은컴퓨터아카데미,서울 강남구,의료영상 AI API연동 프로젝트 기반 자바(java)풀스택 개발자 과정
더조은컴퓨터아카데미,서울 강남구,사무직 필수 엑셀 입문(실무엑셀)A
더조은컴퓨터아카데미,서울 강남구,GTQ(일러스트)자격취득 입문
더조은컴퓨터아카데미,서울 강남구,IOS 앱 제작 SWIFT프로그래밍 입문
더조은컴퓨터아카데미,서울 강남구,라이노 활용 3D모델링&3D프린팅(제품제작)A
더조은컴퓨터아카데미,서울 강남구,"(BIM)디지털 건축설계(CAD,3ds Max,Revit,SketchUp) 실무자 양성 B"
더조은컴퓨터아카데미,서울 강남구,"(과정평가형 자격)3D프린트활용 제품디자인산업기사 자격증 취득과정(캐드(CAD),맥스(MAX),라이노) A"
더조은컴퓨터아카데미,서울 강남구,"3D프린터를 활용한 제품디자인(캐드,맥스,라이노) B"
더조은컴퓨터아카데미,서울 강남구,[정보보안] 모의해킹/침해대응 전문가 취업캠프
더조은컴퓨터아카데미,서울 강남구,《초보 가능》 3D 블렌더(blender) 활용한 아바타 제작(메타버스)
더조은컴퓨터아카데미,서울 강남구,"3DMAX(맥스) 실무(모델링,렌더링)"
더조은컴퓨터아카데미,서울 강남구,라이노 활용 3D모델링&3D프린팅(제품제작)B
더조은컴퓨터아카데미,서울 강남구,2D그래픽(일러스트&포토샵)실무 완성
더조은컴퓨터아카데미,서울 강남구,플러터(Flutter)를 활용한 앱개발 입문(안드로이드&IOS)
더조은컴퓨터아카데미,서울 강남구,구글 플러터(Flutter)를 활용한 안드로이드&iOS 앱 개발 입문
더조은컴퓨터아카데미,서울 강남구,웹중급 자바스크립트(Javascript)&제이쿼리(jQuery)
더조은컴퓨터아카데미,서울 강남구,R 프로그래밍 활용 빅데이터 분석
더조은컴퓨터아카데미,서울 강남구,ADsP(빅데이터분석 준전문가) 자격대비
더조은컴퓨터아카데미,서울 강남구,"(BIM)디지털 건축설계(CAD,3ds Max,Revit,SketchUp) 실무자 양성 A"
더존평생교육원,서울 강남구,iCUBE 활용 재무회계 실무(16H)
더존평생교육원,서울 강남구,세무관리 통찰력 배양을 위한 법인세 신고실무(16H)
라로즈스쿨학원,서울 강남구,웨딩&파티스타일링반
라로즈스쿨학원,서울 강남구,플랜테리어(분화상품)
라로즈스쿨학원,서울 강남구,"플로리스트 기초과정(꽃꽂이, 가드닝)"
라로즈스쿨학원,서울 강남구,플로리스트 기초과정(절화)
라로즈스쿨학원,서울 강남구,화훼장식기능사 이론&실기
리네아아카데미학원,서울 강남구,손뜨개 강사 교수법 과정
리네아아카데미학원,서울 강남구,대바늘 의류 연구과정
리더스법률인사총무학원,서울 강남구,인사노무사무원 직무능력향상과정
리더스법률인사총무학원,서울 강남구,민법실무
멀티캠퍼스,서울 강남구,멀티잇 금융&마케팅 데이터 분석(Python)
멀티캠퍼스,서울 강남구,멀티잇 데이터 분석&서비스개발(Python)
멀티캠퍼스,서울 강남구,멀티잇 채용연계 풀스택 개발(Java)
메가스터디아이티아카데미학원,서울 강남구,"(과정평가형 자격) 클라우드를 활용한 정보보안(서버,네트워크) 실무 정보보안산업기사 취득과정 B"
메이지유 뷰티직업전문학교,서울 강남구,네일현장실무&드릴
메이지유 뷰티직업전문학교,서울 강남구,피부미용자격증 속성(실기)
메이지유 뷰티직업전문학교,서울 강남구,피부미용자격증 취득과정
메이지유 뷰티직업전문학교,서울 강남구,속눈썹연장 현장실무(연장&펌)
메이지유 뷰티직업전문학교,서울 강남구,미용사(메이크업) 취득과정
메이지유 뷰티직업전문학교,서울 강남구,메이크업자격증 취득과정
메이지유 뷰티직업전문학교,서울 강남구,네일미용자격증 취득과정
메이지유 뷰티직업전문학교,서울 강남구,속눈썹연장 현장실무(연장&펌)
메이지유 뷰티직업전문학교,서울 강남구,제모왁싱 현장실무(얼굴및전신)
메이지유 뷰티직업전문학교,서울 강남구,미용사(피부) 취득과정
메이지유 뷰티직업전문학교,서울 강남구,"메이크업 실무(웨딩,데일리,면접메이크업)"
문릿꽃꽂이학원,서울 강남구,플로리스트 기초 베이직반
문릿꽃꽂이학원,서울 강남구,화훼장식기능사 실기특강반
문릿꽃꽂이학원,서울 강남구,웨딩파티 플로리스트 양성과정
문릿꽃꽂이학원,서울 강남구,트렌디 꽃다발 & 센터피스 &바스켓 마스터 과정
문릿꽃꽂이학원,서울 강남구,플로리스트 취업 창업실무반
문릿꽃꽂이학원,서울 강남구,플라워 컬러믹스 클래스
문릿꽃꽂이학원,서울 강남구,프리저브드&실크플라워 가공화 전문가
문릿꽃꽂이학원,서울 강남구,프렌치 플라워디자인 (가든 스타일)
비트캠프 강남학원,서울 강남구,(디지털컨버전스) AWS 클라우드 기반 프레임워크 융합 개발자 양성 과정 A
서울사진영상IT학원,서울 강남구,"인물,제품,쇼핑몰사진촬영,리터칭고급과정"
서울사진영상IT학원,서울 강남구,"주말 인물, 제품, 쇼핑몰사진촬영 및 리터칭고급과정"
서울사진영상IT학원,서울 강남구,"영상촬영,영상기획및영상편집(프리미어)과정"
