훈련기관명,주소요약,훈련과정명
(주)대한전기학원, 송파구,전기기능사 실기 취득
(주)대한전기학원, 송파구,전기기능사 필기 취득
(주)대한전기학원, 송파구,"전기(산업)기사 필기 이론[전자기/설비/전력-배전, 발전]"
(주)대한전기학원, 송파구,전기(산업)기사 필기 이론[회로 및 제어]
(주)대한전기학원, 송파구,전기(산업)기사 필기 취득
(주)대한전기학원, 송파구,전기(산업)기사 실기 취득
(주)대한전기학원, 송파구,전기(산업)기사 필기 이론[기기/전력-송전]
(주)대한전기학원영등포점, 영등포구,전기(산업)기사 필기 취득[종합반]
(주)대한전기학원영등포점, 영등포구,전기(산업)기사 필기 이론[기기/전력-송전]
(주)대한전기학원영등포점, 영등포구,전기(산업)기사 필기 취득[단기]
(주)대한전기학원영등포점, 영등포구,"전기(산업)기사 필기 이론[전자기/설비/전력-배전, 발전]"
(주)대한전기학원영등포점, 영등포구,전기(산업)기사 실기 취득
(주)대한전기학원영등포점, 영등포구,전기(산업)기사 필기 이론[회로 및 제어]
(주)드림힐, 금천구,공정품질관리실무
(주)드림힐, 금천구,Suppliers Quality 시스템 레벨업 실무
(주)메디잡 리더스 간호학원, 강동구,간호조무사 자격증 취득과정
(주)모두의연구소, 강남구,인공지능 혁신학교 AIFFEL(아이펠) : 코어 과정
(주)모두의연구소, 강남구,[스마트훈련]데이터 사이언티스트 실무과정
(주)문화방송, 마포구,실감형 3D/AR/XR 콘텐츠 전문가 양성 과정
(주)문화방송, 마포구,언리얼5를 이용한 미디어엔터테이먼트 콘텐츠 전문가 양성과정
(주)문화방송, 마포구,한류 IP를 활용한 메타버스플랫폼 서비스 개발자 양성과정
(주)미동소방학원, 영등포구,소방시설관리사 취득 2차 (점검+설계) 실기특강
(주)세스코, 강동구,HACCP 팀장과정
(주)솔데스크, 종로구,Kubernetes cluster 모니터링 오브젝트 스토리지 운영 및 관리
(주)솔데스크, 종로구,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정
(주)솔데스크, 종로구,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정
(주)솔데스크, 종로구,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps
(주)신세계아이앤씨, 중구,JAVA 기반 백엔드 개발자 양성
(주)신세계아이앤씨, 중구,AI플랫폼을 활용한 (리테일)서비스 개발 과정
(주)알파코, 성동구,[누구나 AI] 딥러닝 부트 캠프
(주)엔젤21세기부설엔젤요양보호사교육원, 관악구,요양보호사 자격 취득 과정-실업자
(주)엘리스그룹, 성동구,엘리스 프론트엔드&백엔드 웹 개발자 트랙
(주)엘리스그룹, 강남구,엘리스 AI 웹 풀스택 트랙 
(주)엘리스그룹, 강남구,엘리스 클라우드(자바/스프링) 기반 백엔드 엔지니어 트랙
(주)은평인테리어기술전문학원, 은평구,[주말]방수기능사자격증 취득
